,number,value,datetime_start,datetime_complete,duration,params_activation,params_dropout,params_layers,params_shrink,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,state
47,47,0.14796222746372223,2023-01-05 18:52:16.892113,2023-01-05 18:52:24.332622,0 days 00:00:07.440509,tanh,0.2,7,0.5,0.14796222746372223,,,PRUNED
48,48,0.12182704359292984,2023-01-05 18:52:24.416164,2023-01-05 18:52:31.606806,0 days 00:00:07.190642,relu,0.45,4,0.6,0.12182704359292984,,,PRUNED
49,49,0.12895260751247406,2023-01-05 18:52:31.741313,2023-01-05 18:53:08.035120,0 days 00:00:36.293807,tanh,0.15000000000000002,2,0.65,0.07219439744949341,0.058104850351810455,0.03168073296546936,COMPLETE
50,50,0.03743791580200195,2023-01-05 18:53:08.175901,2023-01-05 18:53:36.027236,0 days 00:00:27.851335,sigmoid,0.35000000000000003,2,0.8500000000000001,0.03743791580200195,,,PRUNED
51,51,0.14461635053157806,2023-01-05 18:53:36.138114,2023-01-05 18:53:43.335025,0 days 00:00:07.196911,tanh,0.15000000000000002,3,0.7,0.14461635053157806,,,PRUNED
52,52,0.10380084067583084,2023-01-05 18:53:43.443566,2023-01-05 18:53:56.150500,0 days 00:00:12.706934,tanh,0.05,5,0.65,0.09812849014997482,0.10380084067583084,,PRUNED
53,53,0.08334717154502869,2023-01-05 18:53:56.242583,2023-01-05 18:54:08.849630,0 days 00:00:12.607047,sigmoid,0.1,2,0.75,0.08334717154502869,,,PRUNED
54,54,0.14435304701328278,2023-01-05 18:54:08.958749,2023-01-05 18:54:16.324204,0 days 00:00:07.365455,tanh,0.1,6,0.8,0.14435304701328278,,,PRUNED
55,55,0.12336760759353638,2023-01-05 18:54:16.419632,2023-01-05 18:54:28.931824,0 days 00:00:12.512192,sigmoid,0.2,4,0.65,0.12336760759353638,,,PRUNED
56,56,0.06973595917224884,2023-01-05 18:54:29.041517,2023-01-05 18:54:41.581101,0 days 00:00:12.539584,tanh,0.0,2,0.55,0.09147903323173523,0.06973595917224884,,PRUNED
57,57,0.03470722958445549,2023-01-05 18:54:41.689194,2023-01-05 18:55:09.861589,0 days 00:00:28.172395,tanh,0.05,2,0.5,0.07355523109436035,0.053560275584459305,0.03470722958445549,PRUNED
58,58,0.1211903914809227,2023-01-05 18:55:09.970989,2023-01-05 18:55:17.195160,0 days 00:00:07.224171,tanh,0.05,3,0.6,0.1211903914809227,,,PRUNED
59,59,0.2609140872955322,2023-01-05 18:55:17.294853,2023-01-05 18:55:45.875802,0 days 00:00:28.580949,tanh,0.35000000000000003,7,0.55,0.2609140872955322,,,PRUNED
60,60,0.10005596280097961,2023-01-05 18:55:45.985819,2023-01-05 18:55:58.591526,0 days 00:00:12.605707,sigmoid,0.05,3,0.6,0.10005596280097961,,,PRUNED
61,61,0.1316610872745514,2023-01-05 18:55:58.693120,2023-01-05 18:56:05.815612,0 days 00:00:07.122492,tanh,0.05,2,0.7,0.1316610872745514,,,PRUNED
62,62,0.10450787097215652,2023-01-05 18:56:05.925516,2023-01-05 18:56:13.157080,0 days 00:00:07.231564,tanh,0.2,3,0.55,0.10450787097215652,,,PRUNED
63,63,0.11341136693954468,2023-01-05 18:56:13.260300,2023-01-05 18:56:20.681150,0 days 00:00:07.420850,tanh,0.1,4,0.65,0.11341136693954468,,,PRUNED
64,64,0.038174740970134735,2023-01-05 18:56:20.798399,2023-01-05 18:56:48.679410,0 days 00:00:27.881011,sigmoid,0.5,2,0.7,0.038174740970134735,,,PRUNED
65,65,0.13407182693481445,2023-01-05 18:56:48.788957,2023-01-05 18:56:55.978869,0 days 00:00:07.189912,sigmoid,0.05,3,0.55,0.13407182693481445,,,PRUNED
66,66,0.12450966238975525,2023-01-05 18:56:56.098107,2023-01-05 18:57:03.103060,0 days 00:00:07.004953,tanh,0.15000000000000002,2,0.8,0.12450966238975525,,,PRUNED
67,67,0.1494019329547882,2023-01-05 18:57:03.188177,2023-01-05 18:57:16.118925,0 days 00:00:12.930748,sigmoid,0.2,5,0.8,0.1494019329547882,,,PRUNED
68,68,0.1779521405696869,2023-01-05 18:57:16.219226,2023-01-05 18:57:23.618455,0 days 00:00:07.399229,tanh,0.1,7,0.6,0.1779521405696869,,,PRUNED
69,69,0.11108904331922531,2023-01-05 18:57:23.702020,2023-01-05 18:57:30.759987,0 days 00:00:07.057967,sigmoid,0.0,2,0.9,0.11108904331922531,,,PRUNED
70,70,0.03527939319610596,2023-01-05 18:57:30.861984,2023-01-05 18:57:59.124208,0 days 00:00:28.262224,relu,0.2,2,0.5,0.08830121159553528,0.05987705662846565,0.03527939319610596,PRUNED
71,71,0.09024413675069809,2023-01-05 18:57:59.234454,2023-01-05 18:58:11.556479,0 days 00:00:12.322025,sigmoid,0.25,2,0.55,0.09024413675069809,,,PRUNED
72,72,0.046603888273239136,2023-01-05 18:58:11.666583,2023-01-05 18:58:39.729171,0 days 00:00:28.062588,relu,0.4,3,1.0,0.046603888273239136,,,PRUNED
73,73,0.03984581679105759,2023-01-05 18:58:39.838157,2023-01-05 18:59:08.027262,0 days 00:00:28.189105,relu,0.2,2,0.5,0.09434211254119873,0.05458962172269821,0.03984581679105759,PRUNED
74,74,0.19168736040592194,2023-01-05 18:59:08.128154,2023-01-05 18:59:20.959774,0 days 00:00:12.831620,sigmoid,0.1,5,0.7,0.19168736040592194,,,PRUNED
75,75,0.051203932613134384,2023-01-05 18:59:21.077766,2023-01-05 18:59:49.457664,0 days 00:00:28.379898,relu,0.1,4,0.65,0.051203932613134384,,,PRUNED
76,76,0.04314769059419632,2023-01-05 18:59:49.566790,2023-01-05 19:00:17.764443,0 days 00:00:28.197653,relu,0.45,3,0.8500000000000001,0.04314769059419632,,,PRUNED
77,77,0.06532394140958786,2023-01-05 19:00:17.872398,2023-01-05 19:00:46.344265,0 days 00:00:28.471867,relu,0.30000000000000004,4,0.65,0.06532394140958786,,,PRUNED
78,78,0.039728473871946335,2023-01-05 19:00:46.471068,2023-01-05 19:01:14.634580,0 days 00:00:28.163512,sigmoid,0.2,3,0.55,0.07142281532287598,0.039728473871946335,,PRUNED
79,79,0.110863596200943,2023-01-05 19:01:14.727262,2023-01-05 19:01:21.900506,0 days 00:00:07.173244,relu,0.15000000000000002,3,0.5,0.110863596200943,,,PRUNED
80,80,0.35097062587738037,2023-01-05 19:01:22.010127,2023-01-05 19:01:43.070830,0 days 00:00:21.060703,sigmoid,0.1,8,0.8,,,,COMPLETE
81,81,0.09315051883459091,2023-01-05 19:01:43.195576,2023-01-05 19:01:55.614893,0 days 00:00:12.419317,sigmoid,0.05,4,0.8500000000000001,0.09315051883459091,,,PRUNED
82,82,0.05073089897632599,2023-01-05 19:01:55.740956,2023-01-05 19:02:23.862499,0 days 00:00:28.121543,relu,0.30000000000000004,3,1.0,0.05073089897632599,,,PRUNED
83,83,0.03604484349489212,2023-01-05 19:02:23.971043,2023-01-05 19:02:52.060506,0 days 00:00:28.089463,tanh,0.0,2,0.55,0.06922496110200882,0.052507877349853516,0.03604484349489212,PRUNED
84,84,0.05970774590969086,2023-01-05 19:02:52.153254,2023-01-05 19:03:04.801106,0 days 00:00:12.647852,relu,0.2,2,0.7,0.09813535958528519,0.05970774590969086,,PRUNED
85,85,0.13826438784599304,2023-01-05 19:03:04.892210,2023-01-05 19:03:12.334516,0 days 00:00:07.442306,tanh,0.30000000000000004,6,0.6,0.13826438784599304,,,PRUNED
86,86,0.07958710193634033,2023-01-05 19:03:12.442392,2023-01-05 19:03:24.924567,0 days 00:00:12.482175,relu,0.25,3,0.5,0.09017051756381989,0.07958710193634033,,PRUNED
87,87,0.10039910674095154,2023-01-05 19:03:25.017147,2023-01-05 19:03:32.007069,0 days 00:00:06.989922,sigmoid,0.15000000000000002,2,1.0,0.10039910674095154,,,PRUNED
88,88,0.16552993655204773,2023-01-05 19:03:32.108472,2023-01-05 19:03:40.040089,0 days 00:00:07.931617,tanh,0.1,8,0.8500000000000001,0.16552993655204773,,,PRUNED
89,89,0.11616429686546326,2023-01-05 19:03:40.149634,2023-01-05 19:03:47.414581,0 days 00:00:07.264947,relu,0.0,4,0.95,0.11616429686546326,,,PRUNED
90,90,0.11568745225667953,2023-01-05 19:03:47.514743,2023-01-05 19:03:54.505397,0 days 00:00:06.990654,tanh,0.0,2,0.55,0.11568745225667953,,,PRUNED
91,91,0.03803147003054619,2023-01-05 19:03:54.614218,2023-01-05 19:04:22.936588,0 days 00:00:28.322370,tanh,0.0,2,0.55,0.08644717186689377,0.059500981122255325,0.03803147003054619,PRUNED
92,92,0.08582570403814316,2023-01-05 19:04:23.045401,2023-01-05 19:04:35.494243,0 days 00:00:12.448842,sigmoid,0.15000000000000002,2,0.5,0.08582570403814316,,,PRUNED
93,93,0.0733577311038971,2023-01-05 19:04:35.586822,2023-01-05 19:05:03.834225,0 days 00:00:28.247403,relu,0.05,4,0.6,0.0733577311038971,,,PRUNED
94,94,0.040352702140808105,2023-01-05 19:05:03.943327,2023-01-05 19:05:32.090402,0 days 00:00:28.147075,sigmoid,0.15000000000000002,2,0.5,0.06064451113343239,0.040352702140808105,,PRUNED
95,95,0.11950930207967758,2023-01-05 19:05:32.207549,2023-01-05 19:05:39.364738,0 days 00:00:07.157189,tanh,0.05,3,0.5,0.11950930207967758,,,PRUNED
96,96,0.09714251756668091,2023-01-05 19:05:39.457123,2023-01-05 19:05:51.821831,0 days 00:00:12.364708,sigmoid,0.25,3,0.6,0.09714251756668091,,,PRUNED
97,97,0.15797001123428345,2023-01-05 19:05:51.913702,2023-01-05 19:06:22.684242,0 days 00:00:30.770540,sigmoid,0.4,2,0.75,0.03872470557689667,,,COMPLETE
98,98,0.10823655128479004,2023-01-05 19:06:22.792003,2023-01-05 19:06:30.035613,0 days 00:00:07.243610,tanh,0.05,2,0.55,0.10823655128479004,,,PRUNED
99,99,0.06163010001182556,2023-01-05 19:06:30.153493,2023-01-05 19:06:42.443310,0 days 00:00:12.289817,tanh,0.05,2,0.65,0.07326973229646683,0.06163010001182556,,PRUNED
100,100,0.1223892942070961,2023-01-05 19:06:42.536903,2023-01-05 19:06:49.884106,0 days 00:00:07.347203,tanh,0.1,5,0.6,0.1223892942070961,,,PRUNED
101,101,0.04015951231122017,2023-01-05 19:06:50.009729,2023-01-05 19:07:18.190844,0 days 00:00:28.181115,sigmoid,0.5,2,0.75,0.04015951231122017,,,PRUNED
