,number,value,datetime_start,datetime_complete,duration,params_activation,params_dropout,params_layers,params_shrink,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,state
80,80,0.08114492893218994,2023-01-04 15:05:55.252767,2023-01-04 15:06:10.753795,0 days 00:00:15.501028,sigmoid,0.5,2,0.8500000000000001,0.08114492893218994,,,PRUNED
81,81,0.19595807790756226,2023-01-04 15:06:10.868729,2023-01-04 15:06:19.486481,0 days 00:00:08.617752,tanh,0.15000000000000002,3,0.9,0.19595807790756226,,,PRUNED
82,82,0.09949963539838791,2023-01-04 15:06:19.601114,2023-01-04 15:06:35.035305,0 days 00:00:15.434191,sigmoid,0.4,2,0.8,0.09949963539838791,,,PRUNED
83,83,0.07974190264940262,2023-01-04 15:06:35.133293,2023-01-04 15:06:50.833803,0 days 00:00:15.700510,relu,0.05,4,0.75,0.13389307260513306,0.07974190264940262,,PRUNED
84,84,0.19350579380989075,2023-01-04 15:06:50.940889,2023-01-04 15:07:00.058069,0 days 00:00:09.117180,tanh,0.30000000000000004,6,1.0,0.19350579380989075,,,PRUNED
85,85,0.1593509465456009,2023-01-04 15:07:00.147149,2023-01-04 15:07:08.649812,0 days 00:00:08.502663,tanh,0.35000000000000003,2,1.0,0.1593509465456009,,,PRUNED
86,86,0.1723869889974594,2023-01-04 15:07:08.755910,2023-01-04 15:07:17.290442,0 days 00:00:08.534532,tanh,0.25,2,1.0,0.1723869889974594,,,PRUNED
87,87,0.061227042227983475,2023-01-04 15:07:17.405080,2023-01-04 15:07:53.595579,0 days 00:00:36.190499,sigmoid,0.45,3,1.0,0.0779537707567215,0.061227042227983475,,PRUNED
88,88,0.08219391107559204,2023-01-04 15:07:53.718005,2023-01-04 15:08:09.220293,0 days 00:00:15.502288,tanh,0.35000000000000003,2,0.95,0.13737525045871735,0.08219391107559204,,PRUNED
89,89,0.07689057290554047,2023-01-04 15:08:09.335297,2023-01-04 15:08:24.651891,0 days 00:00:15.316594,tanh,0.45,2,0.8,0.12168822437524796,0.07689057290554047,,PRUNED
90,90,0.1438979208469391,2023-01-04 15:08:24.748994,2023-01-04 15:08:33.325792,0 days 00:00:08.576798,tanh,0.2,3,0.9,0.1438979208469391,,,PRUNED
91,91,0.07895191758871078,2023-01-04 15:08:33.440871,2023-01-04 15:08:49.149539,0 days 00:00:15.708668,tanh,0.30000000000000004,2,0.8500000000000001,0.10285419225692749,0.07895191758871078,,PRUNED
92,92,0.1498226523399353,2023-01-04 15:08:49.265052,2023-01-04 15:08:57.707582,0 days 00:00:08.442530,relu,0.4,2,0.95,0.1498226523399353,,,PRUNED
93,93,0.04965556785464287,2023-01-04 15:08:57.830723,2023-01-04 15:09:34.021788,0 days 00:00:36.191065,sigmoid,0.5,3,0.5,0.10871857404708862,0.06843648850917816,0.04965556785464287,PRUNED
94,94,0.15367351472377777,2023-01-04 15:09:34.144391,2023-01-04 15:10:16.878380,0 days 00:00:42.733989,tanh,0.35000000000000003,2,0.8500000000000001,0.11447852104902267,0.06639638543128967,0.04510629549622536,COMPLETE
95,95,0.19717594981193542,2023-01-04 15:10:17.003762,2023-01-04 15:10:33.175417,0 days 00:00:16.171655,sigmoid,0.5,7,0.8500000000000001,0.19717594981193542,,,PRUNED
96,96,0.09579199552536011,2023-01-04 15:10:33.290476,2023-01-04 15:10:48.740459,0 days 00:00:15.449983,relu,0.35000000000000003,2,0.65,0.09579199552536011,,,PRUNED
97,97,0.1443769335746765,2023-01-04 15:10:48.856525,2023-01-04 15:11:04.598290,0 days 00:00:15.741765,tanh,0.1,4,0.8,0.1320948451757431,0.1443769335746765,,PRUNED
98,98,0.0810166448354721,2023-01-04 15:11:04.696544,2023-01-04 15:11:20.030440,0 days 00:00:15.333896,tanh,0.35000000000000003,2,0.8500000000000001,0.13417237997055054,0.0810166448354721,,PRUNED
99,99,0.13931818306446075,2023-01-04 15:11:20.145323,2023-01-04 15:11:28.946446,0 days 00:00:08.801123,tanh,0.4,2,0.8500000000000001,0.13931818306446075,,,PRUNED
100,100,0.10311245173215866,2023-01-04 15:11:29.052744,2023-01-04 15:11:44.670255,0 days 00:00:15.617511,tanh,0.45,3,0.9,0.13342022895812988,0.10311245173215866,,PRUNED
101,101,0.049902599304914474,2023-01-04 15:11:44.768164,2023-01-04 15:12:20.784192,0 days 00:00:36.016028,relu,0.05,3,0.7,0.07363564521074295,0.049902599304914474,,PRUNED
102,102,0.07690424472093582,2023-01-04 15:12:20.914389,2023-01-04 15:12:36.632549,0 days 00:00:15.718160,tanh,0.35000000000000003,2,0.55,0.12653052806854248,0.07690424472093582,,PRUNED
103,103,0.0841553583741188,2023-01-04 15:12:36.748612,2023-01-04 15:12:52.257189,0 days 00:00:15.508577,tanh,0.30000000000000004,2,0.8,0.0913740023970604,0.0841553583741188,,PRUNED
104,104,0.15635144710540771,2023-01-04 15:12:52.364223,2023-01-04 15:13:01.047672,0 days 00:00:08.683449,relu,0.4,3,0.9,0.15635144710540771,,,PRUNED
105,105,0.150306835770607,2023-01-04 15:13:01.153122,2023-01-04 15:13:47.421081,0 days 00:00:46.267959,sigmoid,0.2,2,0.55,0.0720488578081131,0.043853215873241425,,COMPLETE
106,106,0.14613065123558044,2023-01-04 15:13:47.529122,2023-01-04 15:14:04.376381,0 days 00:00:16.847259,relu,0.1,7,0.55,0.14613065123558044,,,PRUNED
107,107,0.1658095419406891,2023-01-04 15:14:04.499520,2023-01-04 15:14:13.250696,0 days 00:00:08.751176,tanh,0.25,2,0.8500000000000001,0.1658095419406891,,,PRUNED
108,108,0.051600389182567596,2023-01-04 15:14:13.348662,2023-01-04 15:14:49.471551,0 days 00:00:36.122889,tanh,0.5,3,0.95,0.13166411221027374,0.07098912447690964,0.051600389182567596,PRUNED
109,109,0.10588578134775162,2023-01-04 15:14:49.586648,2023-01-04 15:15:05.112011,0 days 00:00:15.525363,relu,0.45,2,1.0,0.1338682919740677,0.10588578134775162,,PRUNED
110,110,0.08712247014045715,2023-01-04 15:15:05.203022,2023-01-04 15:15:20.911314,0 days 00:00:15.708292,sigmoid,0.30000000000000004,2,0.75,0.12451102584600449,0.08712247014045715,,PRUNED
111,111,0.10537521541118622,2023-01-04 15:15:21.010472,2023-01-04 15:15:36.709646,0 days 00:00:15.699174,tanh,0.2,5,0.5,0.10537521541118622,,,PRUNED
112,112,0.08349791169166565,2023-01-04 15:15:36.825693,2023-01-04 15:15:52.216813,0 days 00:00:15.391120,sigmoid,0.1,2,0.55,0.08349791169166565,,,PRUNED
113,113,0.08335220813751221,2023-01-04 15:15:52.333178,2023-01-04 15:16:08.065650,0 days 00:00:15.732472,tanh,0.4,2,0.95,0.1331072747707367,0.08335220813751221,,PRUNED
114,114,0.047427546232938766,2023-01-04 15:16:08.172908,2023-01-04 15:16:44.238575,0 days 00:00:36.065667,sigmoid,0.30000000000000004,2,0.6,0.06768234074115753,0.047427546232938766,,PRUNED
115,115,0.14423435926437378,2023-01-04 15:16:44.328554,2023-01-04 15:16:52.929267,0 days 00:00:08.600713,tanh,0.4,2,0.9,0.14423435926437378,,,PRUNED
116,116,0.16081978380680084,2023-01-04 15:16:53.018627,2023-01-04 15:17:01.619901,0 days 00:00:08.601274,tanh,0.35000000000000003,3,1.0,0.16081978380680084,,,PRUNED
117,117,0.1854320466518402,2023-01-04 15:17:01.701517,2023-01-04 15:17:10.560897,0 days 00:00:08.859380,tanh,0.35000000000000003,2,0.95,0.1854320466518402,,,PRUNED
118,118,0.13787806034088135,2023-01-04 15:17:10.642114,2023-01-04 15:17:19.151456,0 days 00:00:08.509342,tanh,0.4,2,0.8500000000000001,0.13787806034088135,,,PRUNED
119,119,0.08098709583282471,2023-01-04 15:17:19.234365,2023-01-04 15:17:34.556968,0 days 00:00:15.322603,sigmoid,0.25,2,0.55,0.08098709583282471,,,PRUNED
120,120,0.2804659605026245,2023-01-04 15:17:34.674630,2023-01-04 15:17:43.706496,0 days 00:00:09.031866,relu,0.1,6,0.9,0.2804659605026245,,,PRUNED
121,121,0.1552959531545639,2023-01-04 15:17:43.790606,2023-01-04 15:17:52.697265,0 days 00:00:08.906659,tanh,0.45,3,0.8500000000000001,0.1552959531545639,,,PRUNED
122,122,0.19400300085544586,2023-01-04 15:17:52.797444,2023-01-04 15:18:01.596593,0 days 00:00:08.799149,tanh,0.5,4,0.9,0.19400300085544586,,,PRUNED
123,123,0.08142688870429993,2023-01-04 15:18:01.697108,2023-01-04 15:18:17.303739,0 days 00:00:15.606631,sigmoid,0.15000000000000002,3,0.5,0.08142688870429993,,,PRUNED
124,124,0.08816138654947281,2023-01-04 15:18:17.403352,2023-01-04 15:18:33.086182,0 days 00:00:15.682830,relu,0.15000000000000002,2,0.95,0.11504993587732315,0.08816138654947281,,PRUNED
125,125,0.24169401824474335,2023-01-04 15:18:33.187193,2023-01-04 15:18:42.227542,0 days 00:00:09.040349,tanh,0.4,7,0.8,0.24169401824474335,,,PRUNED
126,126,0.14769339561462402,2023-01-04 15:18:42.327848,2023-01-04 15:19:28.978971,0 days 00:00:46.651123,sigmoid,0.5,3,0.5,0.09338951110839844,0.07281417399644852,0.04428805783390999,COMPLETE
127,127,0.0756429135799408,2023-01-04 15:19:29.078731,2023-01-04 15:19:44.638816,0 days 00:00:15.560085,sigmoid,0.5,4,0.65,0.12501083314418793,0.0756429135799408,,PRUNED
128,128,0.086237333714962,2023-01-04 15:19:44.722935,2023-01-04 15:20:00.312324,0 days 00:00:15.589389,sigmoid,0.35000000000000003,2,0.6,0.086237333714962,,,PRUNED
129,129,0.2723686695098877,2023-01-04 15:20:00.438018,2023-01-04 15:20:09.303620,0 days 00:00:08.865602,sigmoid,0.45,5,0.55,0.2723686695098877,,,PRUNED
130,130,0.09082203358411789,2023-01-04 15:20:09.404667,2023-01-04 15:20:24.910620,0 days 00:00:15.505953,tanh,0.45,3,0.65,0.09082203358411789,,,PRUNED
131,131,0.05807974934577942,2023-01-04 15:20:25.020094,2023-01-04 15:21:00.958045,0 days 00:00:35.937951,sigmoid,0.2,2,0.8,0.07507205009460449,0.05807974934577942,,PRUNED
132,132,0.1539110243320465,2023-01-04 15:21:01.059041,2023-01-04 15:21:47.401766,0 days 00:00:46.342725,relu,0.25,3,0.55,0.06874734908342361,0.045216962695121765,,COMPLETE
133,133,0.09142933040857315,2023-01-04 15:21:47.493105,2023-01-04 15:22:02.903368,0 days 00:00:15.410263,relu,0.25,3,0.55,0.09142933040857315,,,PRUNED
134,134,0.1418912708759308,2023-01-04 15:22:03.029368,2023-01-04 15:22:11.835885,0 days 00:00:08.806517,sigmoid,0.5,2,0.6,0.1418912708759308,,,PRUNED
135,135,0.053327493369579315,2023-01-04 15:22:11.936022,2023-01-04 15:22:47.849110,0 days 00:00:35.913088,relu,0.15000000000000002,3,0.5,0.0708589181303978,0.053327493369579315,,PRUNED
136,136,0.1459817737340927,2023-01-04 15:22:47.959165,2023-01-04 15:23:33.980172,0 days 00:00:46.021007,relu,0.25,2,0.6,0.07154949009418488,0.04152810946106911,,COMPLETE
137,137,0.04943018779158592,2023-01-04 15:23:34.076602,2023-01-04 15:24:10.068592,0 days 00:00:35.991990,sigmoid,0.45,3,0.7,0.11741609126329422,0.06594641506671906,0.04943018779158592,PRUNED
138,138,0.09906407445669174,2023-01-04 15:24:10.168757,2023-01-04 15:24:25.792599,0 days 00:00:15.623842,relu,0.25,2,0.6,0.09906407445669174,,,PRUNED
139,139,0.054989658296108246,2023-01-04 15:24:25.893734,2023-01-04 15:25:01.856065,0 days 00:00:35.962331,relu,0.4,2,0.8500000000000001,0.09862634539604187,0.0721777155995369,0.054989658296108246,PRUNED
140,140,0.14688843488693237,2023-01-04 15:25:01.965203,2023-01-04 15:25:10.947117,0 days 00:00:08.981914,sigmoid,0.05,5,1.0,0.14688843488693237,,,PRUNED
141,141,0.08105504512786865,2023-01-04 15:25:11.040162,2023-01-04 15:25:26.387997,0 days 00:00:15.347835,tanh,0.35000000000000003,2,0.9,0.1207071989774704,0.08105504512786865,,PRUNED
142,142,0.14760033786296844,2023-01-04 15:25:26.472524,2023-01-04 15:26:16.330796,0 days 00:00:49.858272,relu,0.30000000000000004,2,0.55,0.06871043145656586,0.04410200193524361,,COMPLETE
