,number,value,datetime_start,datetime_complete,duration,params_activation,params_dropout,params_layers,params_shrink,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,system_attrs_completed_rung_3,state
57,57,65.59567260742188,2022-12-25 01:12:32.795954,2022-12-25 01:12:47.922042,0 days 00:00:15.126088,relu,0.30000000000000004,3,0.6,65.59567260742188,,,,PRUNED
58,58,37.92261505126953,2022-12-25 01:12:47.996445,2022-12-25 01:13:03.529245,0 days 00:00:15.532800,relu,0.5,6,0.65,37.92261505126953,,,,PRUNED
59,59,7.335378646850586,2022-12-25 01:13:03.611003,2022-12-25 01:13:33.175818,0 days 00:00:29.564815,tanh,0.15000000000000002,7,0.75,,,,,COMPLETE
60,60,92.72259521484375,2022-12-25 01:13:33.273815,2022-12-25 01:13:41.677109,0 days 00:00:08.403294,relu,0.45,3,0.7,92.72259521484375,,,,PRUNED
61,61,4.69687557220459,2022-12-25 01:13:41.758118,2022-12-25 01:15:17.669010,0 days 00:01:35.910892,relu,0.2,2,0.65,66.64383697509766,12.935101509094238,5.817437171936035,4.69687557220459,PRUNED
62,62,78.97962188720703,2022-12-25 01:15:17.750557,2022-12-25 01:15:26.327680,0 days 00:00:08.577123,relu,0.35000000000000003,3,0.6,78.97962188720703,,,,PRUNED
63,63,17.963516235351562,2022-12-25 01:15:26.408479,2022-12-25 01:15:41.567194,0 days 00:00:15.158715,relu,0.25,2,0.85,36.713741302490234,17.963516235351562,,,PRUNED
64,64,85.74850463867188,2022-12-25 01:15:41.647990,2022-12-25 01:15:56.974345,0 days 00:00:15.326355,tanh,0.35000000000000003,4,0.75,62.98125457763672,85.74850463867188,,,PRUNED
65,65,13.673157691955566,2022-12-25 01:15:57.054848,2022-12-25 01:16:32.663295,0 days 00:00:35.608447,relu,0.25,4,0.7,20.576335906982422,13.673157691955566,,,PRUNED
66,66,105.37601470947266,2022-12-25 01:16:32.743962,2022-12-25 01:16:41.463631,0 days 00:00:08.719669,sigmoid,0.45,3,0.95,105.37601470947266,,,,PRUNED
67,67,30.069076538085938,2022-12-25 01:16:41.552475,2022-12-25 01:16:56.629138,0 days 00:00:15.076663,relu,0.15000000000000002,2,0.6,30.069076538085938,,,,PRUNED
68,68,1.5758464336395264,2022-12-25 01:16:56.708935,2022-12-25 01:18:12.440209,0 days 00:01:15.731274,sigmoid,0.30000000000000004,2,0.65,5.870014190673828,,,,COMPLETE
69,69,86.5552749633789,2022-12-25 01:18:12.543934,2022-12-25 01:18:21.026509,0 days 00:00:08.482575,sigmoid,0.15000000000000002,4,0.9,86.5552749633789,,,,PRUNED
70,70,98.16472625732422,2022-12-25 01:18:21.119535,2022-12-25 01:18:29.651862,0 days 00:00:08.532327,sigmoid,0.05,2,1.0,98.16472625732422,,,,PRUNED
71,71,7.821139812469482,2022-12-25 01:18:29.743518,2022-12-25 01:19:04.956489,0 days 00:00:35.212971,sigmoid,0.30000000000000004,2,0.65,7.821139812469482,,,,PRUNED
72,72,140.66476440429688,2022-12-25 01:19:05.023919,2022-12-25 01:19:13.423513,0 days 00:00:08.399594,sigmoid,0.05,3,0.95,140.66476440429688,,,,PRUNED
73,73,170.3331756591797,2022-12-25 01:19:13.499277,2022-12-25 01:19:22.498223,0 days 00:00:08.998946,sigmoid,0.1,6,0.65,170.3331756591797,,,,PRUNED
74,74,1.5802897214889526,2022-12-25 01:19:22.572831,2022-12-25 01:20:35.105347,0 days 00:01:12.532516,sigmoid,0.25,2,0.65,6.1750807762146,,,,COMPLETE
75,75,117.7076416015625,2022-12-25 01:20:35.205064,2022-12-25 01:20:43.833295,0 days 00:00:08.628231,sigmoid,0.0,5,0.7,117.7076416015625,,,,PRUNED
76,76,1.7480602264404297,2022-12-25 01:20:43.917387,2022-12-25 01:22:06.828366,0 days 00:01:22.910979,tanh,0.35000000000000003,3,0.65,20.546932220458984,6.4751105308532715,,,COMPLETE
