,number,value,datetime_start,datetime_complete,duration,params_activation,params_dropout,params_layers,params_shrink,system_attrs_completed_rung_0,system_attrs_completed_rung_1,system_attrs_completed_rung_2,state
46,46,0.9863620400428772,2022-12-28 11:29:12.393708,2022-12-28 11:33:22.653975,0 days 00:04:10.260267,relu,0.4,6,0.6,0.9861689209938049,,,COMPLETE
47,47,0.9627236723899841,2022-12-28 11:29:33.214625,2022-12-28 11:30:35.931958,0 days 00:01:02.717333,relu,0.4,7,0.6,0.9627236723899841,,,PRUNED
48,48,0.9837726354598999,2022-12-28 11:29:36.305436,2022-12-28 11:31:29.011390,0 days 00:01:52.705954,tanh,0.25,4,0.9,0.9837726354598999,,,PRUNED
49,49,0.9856739044189453,2022-12-28 11:30:02.363118,2022-12-28 11:31:55.720668,0 days 00:01:53.357550,tanh,0.2,6,1.0,0.9856739044189453,,,PRUNED
50,50,0.9793540835380554,2022-12-28 11:30:09.428538,2022-12-28 11:32:01.575986,0 days 00:01:52.147448,sigmoid,0.25,5,0.6,0.9793540835380554,,,PRUNED
51,51,0.9874535202980042,2022-12-28 11:30:14.753374,2022-12-28 11:32:08.483260,0 days 00:01:53.729886,relu,0.1,5,0.7,0.9744688868522644,0.9874535202980042,,PRUNED
52,52,0.9705577492713928,2022-12-28 11:30:18.865109,2022-12-28 11:31:20.675820,0 days 00:01:01.810711,relu,0.4,5,0.7,0.9705577492713928,,,PRUNED
53,53,0.9854183197021484,2022-12-28 11:30:23.563720,2022-12-28 11:32:16.818837,0 days 00:01:53.255117,relu,0.1,5,0.7,0.9736059308052063,0.9854183197021484,,PRUNED
54,54,0.9675564765930176,2022-12-28 11:30:36.452431,2022-12-28 11:31:37.589182,0 days 00:01:01.136751,relu,0.25,5,0.7,0.9675564765930176,,,PRUNED
55,55,0.968063235282898,2022-12-28 11:30:52.868542,2022-12-28 11:31:55.601560,0 days 00:01:02.733018,relu,0.25,5,0.7,0.968063235282898,,,PRUNED
56,56,0.9782754778862,2022-12-28 11:31:21.088193,2022-12-28 11:35:04.111018,0 days 00:03:43.022825,sigmoid,0.25,6,1.0,0.9886295795440674,,,COMPLETE
57,57,0.9843114614486694,2022-12-28 11:31:29.431772,2022-12-28 11:33:20.608116,0 days 00:01:51.176344,relu,0.25,4,1.0,0.9722410440444946,0.9843114614486694,,PRUNED
58,58,0.9832245111465454,2022-12-28 11:31:37.397008,2022-12-28 11:33:33.743406,0 days 00:01:56.346398,sigmoid,0.15000000000000002,6,1.0,0.9832245111465454,,,PRUNED
59,59,0.9802175760269165,2022-12-28 11:31:38.046598,2022-12-28 11:35:20.928296,0 days 00:03:42.881698,relu,0.15000000000000002,6,1.0,0.9880449175834656,,,COMPLETE
60,60,0.9678601026535034,2022-12-28 11:31:56.352242,2022-12-28 11:32:58.163397,0 days 00:01:01.811155,relu,0.1,4,1.0,0.9678601026535034,,,PRUNED
61,61,0.9841842651367188,2022-12-28 11:31:56.460340,2022-12-28 11:33:55.167015,0 days 00:01:58.706675,relu,0.15000000000000002,6,0.6,0.9841842651367188,,,PRUNED
62,62,0.9843367338180542,2022-12-28 11:32:02.003374,2022-12-28 11:34:00.118512,0 days 00:01:58.115138,relu,0.1,6,0.7,0.9843367338180542,,,PRUNED
63,63,0.984584391117096,2022-12-28 11:32:08.937673,2022-12-28 11:34:05.137204,0 days 00:01:56.199531,relu,0.15000000000000002,6,0.7,0.984584391117096,,,PRUNED
64,64,0.9801089763641357,2022-12-28 11:32:10.541130,2022-12-28 11:35:50.435099,0 days 00:03:39.893969,relu,0.15000000000000002,6,0.7,0.9859962463378906,,,COMPLETE
65,65,0.9875499606132507,2022-12-28 11:32:17.355324,2022-12-28 11:36:27.731431,0 days 00:04:10.376107,relu,0.15000000000000002,6,0.7,0.9877375960350037,,,COMPLETE
66,66,0.9689694046974182,2022-12-28 11:32:33.525012,2022-12-28 11:33:35.143684,0 days 00:01:01.618672,relu,0.45,4,1.0,0.9689694046974182,,,PRUNED
67,67,0.9687108397483826,2022-12-28 11:32:58.678865,2022-12-28 11:34:00.688029,0 days 00:01:02.009164,sigmoid,0.45,3,0.95,0.9687108397483826,,,PRUNED
68,68,0.9845818877220154,2022-12-28 11:33:21.098562,2022-12-28 11:35:14.290264,0 days 00:01:53.191702,relu,0.15000000000000002,6,0.75,0.9845818877220154,,,PRUNED
69,69,0.98366779088974,2022-12-28 11:33:23.301562,2022-12-28 11:35:17.277977,0 days 00:01:53.976415,relu,0.1,6,0.65,0.98366779088974,,,PRUNED
70,70,0.9860312342643738,2022-12-28 11:33:34.321933,2022-12-28 11:35:23.736848,0 days 00:01:49.414915,sigmoid,0.45,3,0.95,0.9773213863372803,0.9860312342643738,,PRUNED
71,71,0.9845788478851318,2022-12-28 11:33:35.587086,2022-12-28 11:35:28.585253,0 days 00:01:52.998167,relu,0.5,7,0.65,0.9845788478851318,,,PRUNED
72,72,0.9689564108848572,2022-12-28 11:33:55.587396,2022-12-28 11:34:56.489093,0 days 00:01:00.901697,sigmoid,0.4,3,0.95,0.9689564108848572,,,PRUNED
73,73,0.9695199728012085,2022-12-28 11:34:00.687029,2022-12-28 11:35:06.011744,0 days 00:01:05.324715,sigmoid,0.4,2,0.95,0.9695199728012085,,,PRUNED
74,74,0.9709736704826355,2022-12-28 11:34:01.282570,2022-12-28 11:35:03.321300,0 days 00:01:02.038730,sigmoid,0.4,2,0.95,0.9709736704826355,,,PRUNED
75,75,0.9667465686798096,2022-12-28 11:34:05.789797,2022-12-28 11:35:07.954508,0 days 00:01:02.164711,sigmoid,0.4,2,0.95,0.9667465686798096,,,PRUNED
76,76,0.968386709690094,2022-12-28 11:34:56.960522,2022-12-28 11:35:49.866584,0 days 00:00:52.906062,relu,0.35000000000000003,2,0.95,0.968386709690094,,,PRUNED
77,77,0.9850380420684814,2022-12-28 11:35:03.796732,2022-12-28 11:36:51.454064,0 days 00:01:47.657332,tanh,0.35000000000000003,2,0.9,0.9721176028251648,0.9850380420684814,,PRUNED
78,78,0.9869019389152527,2022-12-28 11:35:04.785631,2022-12-28 11:39:01.313083,0 days 00:03:56.527452,relu,0.5,7,0.65,0.987148642539978,,,COMPLETE
79,79,0.9828362464904785,2022-12-28 11:35:06.448140,2022-12-28 11:36:59.320211,0 days 00:01:52.872071,relu,0.5,7,0.65,0.9828362464904785,,,PRUNED
80,80,0.9866943359375,2022-12-28 11:35:08.364881,2022-12-28 11:36:57.339410,0 days 00:01:48.974529,tanh,0.2,3,0.9,0.9739861488342285,0.9866943359375,,PRUNED
81,81,0.9850651621818542,2022-12-28 11:35:14.827752,2022-12-28 11:37:02.453060,0 days 00:01:47.625308,tanh,0.2,3,0.9,0.9720546007156372,0.9850651621818542,,PRUNED
82,82,0.9672719240188599,2022-12-28 11:35:17.681344,2022-12-28 11:36:17.640262,0 days 00:00:59.958918,tanh,0.2,3,0.9,0.9672719240188599,,,PRUNED
83,83,0.9796404838562012,2022-12-28 11:35:21.578888,2022-12-28 11:37:17.270546,0 days 00:01:55.691658,relu,0.5,7,0.65,0.9796404838562012,,,PRUNED
84,84,0.9689867496490479,2022-12-28 11:35:24.207275,2022-12-28 11:36:24.758730,0 days 00:01:00.551455,tanh,0.2,3,0.9,0.9689867496490479,,,PRUNED
85,85,0.9858030080795288,2022-12-28 11:35:28.986616,2022-12-28 11:37:22.265079,0 days 00:01:53.278463,relu,0.5,7,0.85,0.9858030080795288,,,PRUNED
86,86,0.982538640499115,2022-12-28 11:35:50.339013,2022-12-28 11:37:44.806566,0 days 00:01:54.467553,relu,0.5,7,0.95,0.982538640499115,,,PRUNED
87,87,0.9679415225982666,2022-12-28 11:35:51.286873,2022-12-28 11:36:52.820305,0 days 00:01:01.533432,tanh,0.2,4,0.8,0.9679415225982666,,,PRUNED
88,88,0.9711052775382996,2022-12-28 11:36:18.096676,2022-12-28 11:37:15.526959,0 days 00:00:57.430283,tanh,0.35000000000000003,4,0.8,0.9711052775382996,,,PRUNED
89,89,0.9871492385864258,2022-12-28 11:36:25.295217,2022-12-28 11:38:08.437035,0 days 00:01:43.141818,relu,0.30000000000000004,4,0.8,0.9729533791542053,0.9871492385864258,,PRUNED
90,90,0.9709441065788269,2022-12-28 11:36:28.194852,2022-12-28 11:37:27.110488,0 days 00:00:58.915636,relu,0.30000000000000004,4,0.8,0.9709441065788269,,,PRUNED
91,91,0.9705724716186523,2022-12-28 11:36:51.907477,2022-12-28 11:37:49.721034,0 days 00:00:57.813557,relu,0.30000000000000004,4,0.75,0.9705724716186523,,,PRUNED
92,92,0.9613544344902039,2022-12-28 11:36:53.316756,2022-12-28 11:37:54.280175,0 days 00:01:00.963419,relu,0.30000000000000004,8,0.75,0.9613544344902039,,,PRUNED
93,93,0.9693742990493774,2022-12-28 11:36:57.940957,2022-12-28 11:37:57.188818,0 days 00:00:59.247861,relu,0.30000000000000004,4,0.75,0.9693742990493774,,,PRUNED
94,94,0.9574471116065979,2022-12-28 11:36:59.798646,2022-12-28 11:38:01.212473,0 days 00:01:01.413827,relu,0.30000000000000004,8,0.75,0.9574471116065979,,,PRUNED
95,95,0.9654742479324341,2022-12-28 11:37:02.917482,2022-12-28 11:38:02.242408,0 days 00:00:59.324926,relu,0.30000000000000004,8,0.65,0.9654742479324341,,,PRUNED
96,96,0.9618384838104248,2022-12-28 11:37:15.954347,2022-12-28 11:38:13.986076,0 days 00:00:58.031729,relu,0.30000000000000004,8,0.65,0.9618384838104248,,,PRUNED
97,97,0.9582149386405945,2022-12-28 11:37:17.743972,2022-12-28 11:38:16.819653,0 days 00:00:59.075681,relu,0.30000000000000004,8,0.65,0.9582149386405945,,,PRUNED
98,98,0.964156985282898,2022-12-28 11:37:22.704478,2022-12-28 11:38:23.244493,0 days 00:01:00.540015,relu,0.30000000000000004,8,0.65,0.964156985282898,,,PRUNED
99,99,0.9828979969024658,2022-12-28 11:37:27.648976,2022-12-28 11:39:16.922701,0 days 00:01:49.273725,relu,0.30000000000000004,5,0.8,0.9828979969024658,,,PRUNED
